0684801221 ,411pakPjvdL._SL160_.jpg,The Old Man and the Sea,Ernest Hemingway,$3.79 - $21.85
0553375407 ,51c9PkFculL._SL160_.jpg,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,$3.79 - $25.86
1400082773 ,51LCJdzcSNL._SL160_.jpg,Dreams from My Father,Barack Obama,$3.79 - $28.57
0553213695 ,51tdRAgrW9L._SL160_.jpg,Die Verwandlung,Franz Kafka,$3.79 - $50.81
0767903862 ,51uCBWKPQdL._SL160_.jpg,Down Under,Bill Bryson,$3.79 - $23.77
0440220653 ,51K0BlH8OtL._SL160_.jpg,The Face on the Milk Carton,Caroline B. Cooney,$3.79 - $38.68
1250058139 ,51pDT-YQvOL._SL160_.jpg,James Herriot's Treasury for Children: Warm and Joyful Tales by the Author of All Creatures Great and Small,James Herriot,$3.81 - $21.77
0802400248 ,514wAewRrmL._SL160_.jpg,De Imitatione Christi,Thomas à Kempis,$3.79 - $634.43
0451166884 ,51xHWXFp2WL._SL160_.jpg,The Want-Ad Killer,Ann Rule,$3.79 - $29.64
1451646291 ,51W1MuHa73L._SL160_.jpg,Springwater,Linda Lael Miller,$3.79 - $18.41
0525947698 ,518IpjwAhcL._SL160_.jpg,The Privilege of Youth: A Teenager's Story,Dave Pelzer,$3.79 - $13.56
0307279189 ,5117MxRQidL._SL160_.jpg,Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen,Christopher McDougall,$3.79 - $67.15
0679729771 ,51fcK8PNwFL._SL160_.jpg,Maus II : And Here My Troubles Began,Art Spiegelman,$3.79 - $24.26
0689823959 ,51SB2C8CCWL._SL160_.jpg,I Have Lived A Thousand Years: Growing Up In The Holocaust,Livia E. Bitton-Jackson,$3.79 - $17.62
0525244743 ,51T5fAJG5vL._SL160_.jpg,When Rabbit Howls,Truddi Chase,$3.79 - $8.79
0307475018 ,51gjSqc+LQL._SL160_.jpg,My Life in France,Julia Child,$3.79 - $45.83
1594481954 ,41PQEqZ8baL._SL160_.jpg,My Friend Leonard,James Frey,$3.79 - $25.63
0061357901 ,51QHrDrQ4fL._SL160_.jpg,The Measure of a Man: A Spiritual Autobiography (Oprah's Book Club),Sidney Poitier,$3.79 - $23.34
0060688246 ,41e-p3XItdL._SL160_.jpg,A Severe Mercy,Sheldon Vanauken,$3.79 - $22.91
0809015803 ,416IN9eIHdL._SL160_.jpg,All But My Life,Gerda Weissmann Klein,$3.79 - $39.09
156836010X ,51MSM7986EL._SL160_.jpg,Having Our Say: The Delany Sisters' First 100 Years,Amy Hill Hearth,$3.79 - $122.02
0544837398 ,41964p0t-zL._SL160_.jpg,Autobiography of a Face,Lucy Grealy,$3.79 - $816.23
0425198324 ,514073MPNTL._SL160_.jpg,Death's Acre: Inside the Legendary Forensic Lab the Body Farm Where the Dead Do Tell Tales,Jon Jefferson,$3.79 - $15.09
038000321X ,51vU+Y6dzLL._SL160_.jpg,Alive: The Story of the Andes Survivors,Piers Paul Read,$3.79 - $33.65
015670160X ,51UcBTUmkvL._SL160_.jpg,Orlando,Virginia Woolf,$3.79 - $25.03
