0393048136 ,41LK640p4FL._SL160_.jpg,The New New Thing: A Silicon Valley Story,Michael   Lewis,$3.79 - $15.08
1592232701 ,61AFQ5D464L._SL160_.jpg,Uncle John's Slightly Irregular Bathroom Reader,Bathroom Readers' Institute,$3.79 - $4.59
1118607783 ,514ENeCQ3-L._SL160_.jpg,Starting an Online Business For Dummies (For Dummies (Computer/Tech)),Greg Holden,$3.79 - $21.76
0132256886 ,51lxs5hY+JL._SL160_.jpg,Precalculus,Michael   Sullivan,$4.33 - $51.43
0060523808 ,51BSM4FFwjL._SL160_.jpg,Who Says Elephants Can't Dance? Inside IBM's Historic Turnaround,Louis V. Gerstner Jr.,$3.79 - $36.96
0470088702 ,51zPQ7HrKFL._SL160_.jpg,Beginning Programming For Dummies (Beginning Programming for Dummies),Wallace Wang,$3.79 - $21.76
073560603X ,414Qw2KIY9L._SL160_.jpg,Play Winning Chess,Yasser Seirawan,$3.79 - $6.20
0131872486 ,31bmX1EXVZL._SL160_.jpg,Thinking in Java,Bruce Eckel,$4.33 - $62.26
0446525685 ,51ho3AP0OkL._SL160_.jpg,Business @ the Speed of Thought: Succeeding in the Digital Economy,J.A. Bravo,$3.79 - $66.73
1878257749 ,51qTWn49pQL._SL160_.jpg,Earthsearch: A Kids' Geography Museum in a Book,John  Cassidy,$3.81 - $3.99
0764516604 ,51Mse1s81AL._SL160_.jpg,Linux for Dummies,Dee-Ann Leblanc,$3.79 - $4.19
157231995X ,51PpbUUDKzL._SL160_.jpg,Programming Windows,Charles Petzold,$8.02 - $9.58
0805396136 ,41riHfmSDhL._SL160_.jpg,Molecular Biology of the Gene,Gann Alexander,$3.79 - $20.19
1442403845 ,51uWb8aOefL._SL160_.jpg,Scandals, Rumors, Lies,Jessica Burkhart,$3.79 - $7.99
0131038052 ,5194WJ11V1L._SL160_.jpg,Artificial Intelligence: A Modern Approach,Peter Norvig,$4.49 - $92.38
0671578715 ,51VM2NJY1YL._SL160_.jpg,Fortune's Stroke,Eric Flint,$3.79 - $3.99
1581800460 ,41AxjO3kLxL._SL160_.jpg,Idea Index: Graphic Effects and Typographic Treatments,Jim Krause,$3.79
1118880803 ,512rEsiTrXL._SL160_.jpg,Marketing for Dummies,Alexander Hiam,$3.79 - $4.79
0195106466 ,51nodxgRybL._SL160_.jpg,Shadows of the Mind: A Search for the Missing Science of Consciousness,Roger Penrose,$3.94 - $6.13
0735619174 ,51XJ2DRgZ9L._SL160_.jpg,Microsoft Windows Internals: Microsoft Windows Server(TM) 2003, Windows XP, and Windows 2000 (Pro-Developer),David A. Solomon,$3.99 - $4.19
1593270542 ,51RaP4lqjHL._SL160_.jpg,The Unofficial LEGO Builder's Guide,Allan Bedford,$3.79 - $3.99
0395728592 ,5171S1Q4S8L._SL160_.jpg,Guerrilla Marketing Online: The Entrepreneur's Guide to Earning Profits on the Internet (Guerrilla Marketing),Jay Conrad Levinson,$3.79 - $3.99
1449379702 ,51iGu-amKbL._SL160_.jpg,Designing Interfaces,Jenifer Tidwell,$3.81 - $47.78
0307468038 ,51DN9bZDuSL._SL160_.jpg,Pokemon HeartGold & SoulSilver: The Official Pokemon Johto Guide & Johto Pokedex: Official Strategy Guide,$7.07 - $7.27
0195028066 ,51U67skebuL._SL160_.jpg,How to Read a Film: The World of Movies, Media, Multimedia: Language, History, Theory,James Monaco,$3.81 - $25.56
