0684801221 ,411pakPjvdL._SL160_.jpg,The Old Man and the Sea,Ernest Hemingway,$3.79 - $21.85
0590982079 ,51tE2zQ7DnL._SL160_.jpg,Roll of Thunder, Hear My Cry,Mildred D. Taylor,$3.79 - $105.77
1433679590 ,41wMLZxQmtL._SL160_.jpg,The Love Dare,Alex Kendrick,$3.79 - $21.44
0440419395 ,41tuSGK8aCL._SL160_.jpg,Hoot,Carl Hiaasen,$3.79 - $53.48
0380010038 ,51J4F2A925L._SL160_.jpg,The Cay,Theodore Taylor,$3.79 - $21.51
0553212737 ,61fM6l2UVTL._SL160_.jpg,Emma,Jane Austen,$3.79 - $148.75
3518381768 ,51RR9yHMRCL._SL160_.jpg,The House of the Spirits,Isabel Allende,$3.79 - $24.23
0874478529 ,4131LvT6LIL._SL160_.jpg,The Official SAT Study Guide,The College Board,$3.79 - $4.59
1620973928 ,51zPXyWbZwL._SL160_.jpg,Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,$3.79 - $25.58
0385517254 ,51T+Y7NoXcL._SL160_.jpg,The Fifth Discipline: The Art & Practice of The Learning Organization,Peter M. Senge,$3.79 - $29.10
1400082773 ,51LCJdzcSNL._SL160_.jpg,Dreams from My Father,Barack Obama,$3.79 - $28.57
1983911054 ,51xlO6rB1wL._SL160_.jpg,Murder on the Orient Express,Agatha Christie,$3.79 - $585.44
0064431436 ,517fvFK7ngL._SL160_.jpg,Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business,Esphyr Slobodkina,$3.79 - $73.69
0590313185 ,515MBTEMKYL._SL160_.jpg,Bunnicula: A Rabbit-Tale of Mystery,Deborah Howe,$3.79 - $102.07
0060741872 ,41E9MEH9W3L._SL160_.jpg,Alas, Babylon,Pat Frank,$3.79 - $59.04
0553213695 ,51tdRAgrW9L._SL160_.jpg,Die Verwandlung,Franz Kafka,$3.79 - $50.81
0767903862 ,51uCBWKPQdL._SL160_.jpg,Down Under,Bill Bryson,$3.79 - $23.77
1433555506 ,51JNBKCFLcL._SL160_.jpg,Don't Waste Your Life,John Piper,$3.79 - $19.35
0743477561 ,51a-NbvkmkL._SL160_.jpg,The Merchant of Venice,William Shakespeare,$3.79 - $719.54
0966378601 ,51R089Y1DML._SL160_.jpg,Shepherding a Child's Heart,Tedd Tripp,$3.79 - $315.64
048627263X ,51X6IkcGHPL._SL160_.jpg,Flatland: A Romance of Many Dimensions,Edwin A. Abbott,$3.79 - $1000.00
0805418466 ,41S2ek62uUL._SL160_.jpg,Experiencing God Day by Day: A Devotional and Journal,Richard Blackaby,$3.79 - $120.40
1435145461 ,41V5VDBX7NL._SL160_.jpg,Gray's Anatomy,Henry Gray,$3.79 - $58.69
067162248X ,416+j70DDLL._SL160_.jpg,People Skills: How to Assert Yourself, Listen to Others, and Resolve Conflicts,Robert   Bolton,$3.79 - $15.09
159145042X ,413ttv5z+YL._SL160_.jpg,It's Not About Me: Rescue From the Life We Thought Would Make Us Happy,Max Lucado,$3.79 - $22.25
